Rk,Player,From,To,Yrs,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
119,Mike Danton\dantomi01,2004,2004,1,NHL,68,7,5,12,-8,141,6,0,1,0,3,2,0,72,9.7,812,11:57
120,Michael Dark\darkmi01,1987,1988,2,NHL,43,5,6,11,6,14,5,0,0,1,6,0,0,31,16.1,,
121,Stefan Della Rovere\dellast01,2011,2011,1,NHL,7,0,0,0,0,11,0,0,0,0,0,0,0,4,0,43,6:05
122,Gilbert Delorme\delorgi01,1984,1985,2,NHL,118,2,17,19,-1,94,1,1,0,0,16,1,0,154,1.3,,
123,Ab DeMarco\demarab02,1973,1974,2,NHL,37,7,18,25,10,13,7,0,0,1,5,13,0,122,5.7,,
124,Pavol Demitra\demitpa01,1997,2004,8,NHL,494,204,289,493,99,160,137,63,4,45,190,99,0,1382,14.8,8324,19:35
125,Norm Dennis\dennino01,1969,1972,4,NHL,12,3,0,3,-4,11,2,1,0,0,0,0,0,13,23.1,,
126,Robert Dirk\dirkro01,1988,1991,4,NHL,94,2,6,8,8,255,2,0,0,0,6,0,0,43,4.7,,
127,Jon DiSalvatore\disaljo01,2006,2006,1,NHL,5,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,42,8:27
128,Ted Donato\donatte01,2002,2002,1,NHL,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,,19,9:17
129,Andre Dore\dorean01,1983,1984,2,NHL,93,5,27,32,13,83,5,0,0,1,25,2,0,92,5.4,,
130,Aaron Downey\downeaa01,2006,2006,1,NHL,17,2,0,2,0,45,2,0,0,0,0,0,0,11,18.2,67,3:56
131,Dallas Drake\drakeda01,2001,2007,6,NHL,443,64,106,170,2,386,45,11,8,11,82,19,5,654,9.8,6629,14:58
132,Nick Drazenovic\drazeni01,2011,2011,1,NHL,3,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,27,8:59
133,Steve Dubinsky\dubinst01,2003,2003,1,NHL,28,0,6,6,3,4,0,0,0,0,5,0,1,23,0,301,10:45
134,Steve Duchesne\duchest01,1994,1998,3,NHL,163,38,87,125,39,82,23,14,1,3,38,45,4,384,9.9,,
135,Luc Dufour\dufoulu01,1985,1985,1,NHL,23,1,3,4,-8,18,1,0,0,0,3,0,0,38,2.6,,
136,Donald Dufresne\dufredo01,1995,1996,2,NHL,25,0,3,3,0,14,0,0,0,0,3,0,0,12,0,,
137,Blake Dunlop\dunlobl01,1980,1984,5,NHL,324,86,201,287,-4,118,53,32,1,7,141,57,3,516,16.7,,
138,Vince Dunn\dunnvi02,2018,2019,2,NHL,133,13,36,49,11,53,9,4,0,3,26,10,0,253,5.1,2281,17:09
139,Denis Dupere\duperde01,1975,1975,1,NHL,22,3,6,9,4,8,3,0,0,0,6,0,0,35,8.6,,
140,Andre Dupont\duponan01,1972,1973,2,NHL,85,4,16,20,10,198,4,0,0,0,14,2,0,171,2.3,,
141,Micki DuPont\duponmi01,2008,2008,1,NHL,2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,25,12:34
142,Steve Durbano\durbast01,1973,1979,3,NHL,98,8,24,32,-11,480,8,0,0,0,14,10,0,141,5.7,,
143,Radek Dvorak\dvorara01,2007,2007,1,NHL,82,10,27,37,-6,48,8,1,1,1,19,8,0,139,7.2,1282,15:38
144,Dallas Eakins\eakinda01,1996,1996,1,NHL,16,0,1,1,-2,34,0,0,0,0,1,0,0,6,0,,
145,Mike Eastwood\eastwmi01,1998,2003,6,NHL,336,43,66,109,14,151,36,2,5,7,55,2,9,281,15.3,4613,14:09
146,Tim Ecclestone\eccleti01,1968,1971,4,NHL,230,48,76,124,22,140,39,9,0,10,54,22,0,559,8.6,,
147,Darryl Edestrand\edestda01,1968,1968,1,NHL,12,0,0,0,-3,2,0,0,0,0,0,0,0,12,0,,
148,Joel Edmundson\edmunjo01,2016,2019,4,NHL,260,13,37,50,14,240,13,0,0,2,37,0,0,385,3.4,4745,18:15
149,Jack Egers\egersja01,1972,1974,3,NHL,147,45,50,95,7,66,41,4,0,6,32,18,0,465,9.7,,
150,Todd Elik\elikto01,1995,1995,1,NHL,13,2,4,6,5,4,2,0,0,0,3,1,0,26,7.7,,
151,Lars Eller\ellerla01,2010,2010,1,NHL,7,2,0,2,2,4,1,1,0,0,0,0,0,8,25,76,10:49
152,Dave Ellett\elletda01,2000,2000,1,NHL,52,2,8,10,-4,12,2,0,0,1,4,4,0,41,4.9,701,13:28
153,Kari Eloranta\eloraka01,1982,1982,1,NHL,12,1,7,8,6,6,1,0,0,1,1,6,0,22,4.5,,
154,Nelson Emerson\emersne01,1991,1993,3,NHL,165,45,90,135,-5,130,35,8,2,6,38,52,0,342,13.2,,
155,Chris Evans\evansch01,1972,1975,4,NHL,153,13,20,33,1,41,11,0,2,3,13,3,4,192,6.8,,
156,Doug Evans\evansdo01,1986,1990,5,NHL,163,16,32,48,-4,223,15,0,1,1,32,0,0,144,11.1,,
157,Shawn Evans\evanssh01,1986,1986,1,NHL,7,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,,
158,Todd Ewen\ewento01,1987,1990,4,NHL,124,10,7,17,-4,493,10,0,0,0,7,0,0,74,13.5,,
159,Robby Fabbri\fabbrro01,2016,2019,3,NHL,150,31,40,71,-19,58,25,6,0,4,29,11,0,240,12.9,2099,13:59
160,Bill Fairbairn\fairbbi01,1978,1979,2,NHL,65,15,16,31,-25,10,15,0,0,1,14,1,1,90,16.7,,
161,Cade Fairchild\faircca01,2012,2012,1,NHL,5,0,1,1,-1,0,0,0,0,0,1,0,0,1,0,48,9:39
162,Glen Featherstone\feathgl01,1989,1991,3,NHL,144,5,29,34,15,371,4,1,0,1,25,4,0,102,4.9,,
163,Bernie Federko*\federbe01,1977,1989,13,NHL,927,352,721,1073,-123,463,233,117,2,40,441,280,0,1966,17.9,,
